Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-04-01T00:00:00,757,Elektrus A/S,122,1
2023-04-01T00:00:00,791,Radius Elnet A/S,5371,238
2023-04-01T00:00:00,853,Cerius A/S - 853,36,0
2023-04-01T00:00:00,854,NKE-Elnet A/S,122,0
2023-04-01T00:00:00,860,Zeanet A/S,186,4
2023-04-01T00:00:00,911,TREFOR El-Net Øst A/S,83,1
2023-03-01T00:00:00,016,El-net Kongerslev A/S,2,0
2023-03-01T00:00:00,031,Nord Energi Net A/S,595,20
2023-03-01T00:00:00,042,Netselskabet Elværk A/S - 042,68,1
2023-03-01T00:00:00,051,Elinord A/S,122,0
2023-03-01T00:00:00,084,Kimbrer Elnet A/S,33,0
2023-03-01T00:00:00,085,Læsø Elnet A/S,17,0
2023-03-01T00:00:00,131,N1 A/S - 131,3304,24
2023-03-01T00:00:00,141,Hammel Elforsyning Net A/S,24,0
2023-03-01T00:00:00,151,Konstant Net A/S - 151,1035,5
2023-03-01T00:00:00,154,Elnet Midt A/S,347,2
2023-03-01T00:00:00,233,Dinel A/S - 233,717,6
2023-03-01T00:00:00,244,TREFOR El-Net A/S,929,11
2023-03-01T00:00:00,245,Konstant Net A/S - 245,449,4
2023-03-01T00:00:00,331,Netselskabet Elværk A/S - 331,145,0
2023-03-01T00:00:00,341,GEV Elnet A/S,23,1
2023-03-01T00:00:00,342,Ikast El Net A/S,34,0
2023-03-01T00:00:00,344,N1 A/S - 344,2131,21
2023-03-01T00:00:00,347,NOE Net A/S,119,0
2023-03-01T00:00:00,348,RAH Net A/S,336,3
2023-03-01T00:00:00,351,L-Net A/S,65,2
2023-03-01T00:00:00,357,Forsyning Elnet A/S,19,0
2023-03-01T00:00:00,370,Aal El-net A.m.b.a,15,0
2023-03-01T00:00:00,371,Hjerting Transformatorforening,17,0
2023-03-01T00:00:00,381,Hurup Elværk Net A/S,2,0
2023-03-01T00:00:00,384,Tarm Elværk Net A/S,12,0
2023-03-01T00:00:00,385,Videbæk Elnet A/S,11,0
2023-03-01T00:00:00,396,Sunds Net A.m.b.a,11,0
2023-03-01T00:00:00,398,N1 A/S - 398,9,0
2023-03-01T00:00:00,531,Ravdex A/S,88,1
2023-03-01T00:00:00,532,Veksel A/S,46,1
2023-03-01T00:00:00,533,FLOW Elnet A/S,269,2
2023-03-01T00:00:00,543,Vores Elnet A/S,1213,11
